label,task,arm,trial,criterion,verdict,evidence
"R01","founder-crm","cold","2","FOUNDER-01","pass","Incluye los ocho leads con prioridad, estado, evidencia, canal, acción y justificación."
"R01","founder-crm","cold","2","FOUNDER-02","pass","Centro Diagnóstico Sur y Boreal lideran por dolor confirmado y acceso; el tamaño sin evidencia queda abajo."
"R01","founder-crm","cold","2","FOUNDER-03","pass","Distingue hechos, datos no confirmados, hipótesis y brechas sin tratarlos como equivalentes."
"R01","founder-crm","cold","2","FOUNDER-04","pass","Respeta correos nominales, formulario, portal y la ausencia de canal B2B."
"R01","founder-crm","cold","2","FOUNDER-05","pass","Las acciones escalan desde contacto hasta espera o no prospección según la evidencia."
"R01","founder-crm","cold","2","FOUNDER-06","pass","Personaliza con los 18.000 certificados de Diego y la prioridad 2026 de Paula."
"R01","founder-crm","cold","2","FOUNDER-07","pass","Ambos mensajes presentan problema, piloto pagado de seis semanas y una pregunta breve."
"R01","founder-crm","cold","2","FOUNDER-08","pass","Declara que la verificación funciona y que el trigger automático sigue simulado y requiere integración institucional."
"R02","web-landing","cold","2","WEB-01","pass","El hero fija audiencia, problema, propuesta local y dos acciones específicas."
"R02","web-landing","cold","2","WEB-02","pass","Las ocho secciones contienen función, copy, activos y comportamiento."
"R02","web-landing","cold","2","WEB-03","pass","Describe la demo como alcance actual y enumera capacidades que no deben prometerse."
"R02","web-landing","cold","2","WEB-04","pass","Paleta, tipografía, materiales, composición y prohibiciones quedan implementables."
"R02","web-landing","cold","2","WEB-05","pass","El movimiento orienta una vez y `prefers-reduced-motion` elimina transiciones y desplazamientos."
"R02","web-landing","cold","2","WEB-06","pass","Explicita procesamiento local y permanencia en dispositivo sin sellos ni promesas absolutas."
"R02","web-landing","cold","2","WEB-07","pass","Cierra con una maqueta responsive, activos etiquetados y orden de sustitución ejecutable."
"R02","web-landing","cold","2","WEB-08","pass","Incluye siete comprobaciones observables y no escribe código."
"R03","news-draft","cold","1","NEWS-01","pass","Reordena el paquete en una nota propia sin copiar bloques fuente."
"R03","news-draft","cold","1","NEWS-02","pass","Mantiene tono neutral y limita lanzamiento, adopción e impacto."
"R03","news-draft","cold","1","NEWS-03","fail","Afirma que la ronda fue «para desarrollar su infraestructura», destino de fondos ausente de las fuentes."
"R03","news-draft","cold","1","NEWS-04","pass","Privilegia USD 1,24 millones y separa USD 1,3 y USD 1,2 por fuente."
"R03","news-draft","cold","1","NEWS-05","pass","Expone diferencias sobre monto, comercios y México sin resolverlas por intuición."
"R03","news-draft","cold","1","NEWS-06","pass","Usa sólo el contexto latinoamericano permitido y niega impacto fuera de Colombia."
"R03","news-draft","cold","1","NEWS-07","fail","No contiene subtítulos editoriales útiles ni línea Fuente antes del bloque SEO."
"R03","news-draft","cold","1","NEWS-08","fail","Inventa como uso de la ronda el desarrollo de infraestructura, dato no contenido en el paquete."
"R04","founder-crm","cold","1","FOUNDER-01","pass","Registra ocho leads con los seis campos y estado explícito."
"R04","founder-crm","cold","1","FOUNDER-02","pass","Prioriza dolor, volumen, compra e interlocutor y relega afinidad o tamaño sin oportunidad."
"R04","founder-crm","cold","1","FOUNDER-03","pass","Separa evidencia confirmada, ausencia de evidencia y cifras no confirmadas."
"R04","founder-crm","cold","1","FOUNDER-04","pass","Cada acción usa el canal realmente disponible y evita WhatsApp de soporte."
"R04","founder-crm","cold","1","FOUNDER-05","pass","Contacto, espera, calificación y no contacto son proporcionales al caso."
"R04","founder-crm","cold","1","FOUNDER-06","pass","Los dos mensajes citan contexto propio y verificable de cada institución."
"R04","founder-crm","cold","1","FOUNDER-07","pass","Ambos ofrecen explícitamente el piloto pagado y piden 20 minutos."
"R04","founder-crm","cold","1","FOUNDER-08","pass","Diferencia la verificación funcional de la conexión automática todavía simulada."
"R05","news-draft","lore","1","NEWS-01","pass","La pieza reescribe y estructura la información como nota periodística."
