label,task,arm,trial,criterion,verdict,evidence
"R01","news-draft","lore","2","NEWS-01","pass","La nota reconstruye la información en una narración propia con secciones editoriales."
"R01","news-draft","lore","2","NEWS-02","pass","«La publicación no explica el redondeo... ni distingue entre piloto, pruebas breves y comercios activos»."
"R01","news-draft","lore","2","NEWS-03","pass","Distingue y enlaza «comunicado oficial», «publicación del fundador» y «Mercado Digital» en las afirmaciones correspondientes."
"R01","news-draft","lore","2","NEWS-04","pass","Mantiene «USD 1,24 millones» y contextualiza por separado USD 1,3 y USD 1,2."
"R01","news-draft","lore","2","NEWS-05","pass","«Esa formulación no incorpora las condiciones... citadas por SendaPay» y cuestiona también la equivalencia entre probar y usar."
"R01","news-draft","lore","2","NEWS-06","pass","«Las stablecoins se utilizan en América Latina... No obstante, la información disponible no permite medir el impacto de SendaPay fuera de Colombia»."
"R01","news-draft","lore","2","NEWS-07","pass","Incluye titular, bajada en cursiva, apertura, subtítulos, enlaces, línea Fuente y los cinco Elementos SEO."
"R01","news-draft","lore","2","NEWS-08","pass","Declara límites de los datos, no agrega prompts de imagen y evita los tics prohibidos."
"R02","news-draft","cold","1","NEWS-01","pass","La información se reordena y reescribe como nota, sin bloques copiados del comunicado."
"R02","news-draft","cold","1","NEWS-02","pass","«El desembarco en ese mercado no aparece como confirmado»."
"R02","news-draft","cold","1","NEWS-03","pass","Atribuye explícitamente al comunicado, al fundador y a Mercado Digital las capas que usa."
"R02","news-draft","cold","1","NEWS-04","pass","Cierra reafirmando «La cifra exacta... es USD 1,24 millones» tras presentar USD 1,3 y USD 1,2 como reportes separados."
"R02","news-draft","cold","1","NEWS-05","pass","Contrasta el lanzamiento afirmado por Mercado Digital con «las condiciones señaladas por la empresa» y separa probar de uso verificable."
"R02","news-draft","cold","1","NEWS-06","pass","Aporta el uso regional permitido y aclara que no se puede medir impacto fuera de Colombia."
"R02","news-draft","cold","1","NEWS-07","fail","La salida termina tras el cuerpo y no contiene subtítulos útiles, línea Fuente ni bloque «Elementos SEO»."
"R02","news-draft","cold","1","NEWS-08","pass","No fabrica cifras o impacto, no incluye prompts y evita los tics definidos."
"R03","founder-crm","lore","1","FOUNDER-01","pass","Incluye los ocho leads, cada uno con prioridad, estado, evidencia, canal, siguiente acción y justificación."
