task,arm,trial,verdict,read_lore,compliance_hits,violation_hits,cost_usd,input_tokens,output_tokens,cache_read,tool_calls,duration_ms,num_turns
cm-no-hardgate-deliverables,cold,1,fail,false,0,0,,32416,509,30208,1,19307,1
cm-no-hardgate-deliverables,cold,2,fail,false,0,0,,32414,483,30208,1,16676,1
cm-no-hardgate-deliverables,lore,1,pass,true,3,0,,66088,1168,46336,4,35740,1
cm-no-hardgate-deliverables,lore,2,pass,true,3,0,,66078,1056,59392,4,32745,1
cm-single-cta,cold,1,pass,false,1,0,,32408,181,30208,1,12847,1
cm-single-cta,cold,2,pass,false,1,0,,32406,182,22016,1,15345,1
cm-single-cta,lore,1,pass,true,1,0,,66006,932,37120,4,33606,1
cm-single-cta,lore,2,pass,true,1,0,,66075,907,54272,4,32237,1
cm-thread-numbering,cold,1,fail,false,0,0,,32409,302,22016,1,17399,1
cm-thread-numbering,cold,2,fail,false,0,0,,32400,320,30208,1,14832,1
cm-thread-numbering,lore,1,pass,true,3,0,,66074,1499,62464,4,39962,1
cm-thread-numbering,lore,2,pass,true,3,0,,66083,1502,54272,4,46670,1
news-dual-source,cold,1,fail,false,1,0,,32482,234,17920,1,14113,1
news-dual-source,cold,2,fail,false,1,1,,32488,259,11008,1,12732,1
news-dual-source,lore,1,pass,true,2,0,,66267,810,62464,4,27367,1
news-dual-source,lore,2,pass,true,2,0,,66262,743,61440,4,26738,1
news-remove-ai-tics,cold,1,pass,false,3,0,,32558,261,15104,1,15087,1
news-remove-ai-tics,cold,2,pass,false,3,0,,32549,295,22016,1,16071,1
news-remove-ai-tics,lore,1,pass,true,3,0,,66404,546,54272,4,22701,1
news-remove-ai-tics,lore,2,pass,true,3,0,,100962,623,94720,6,29255,1
news-seo-images,cold,1,fail,false,4,0,,48934,685,42240,2,29479,1
news-seo-images,cold,2,fail,false,3,0,,32435,461,29184,1,16047,1
news-seo-images,lore,1,pass,true,10,0,,49516,672,46336,2,22427,1
news-seo-images,lore,2,pass,true,10,0,,82818,937,77568,5,37788,1
